BJD - 2454833, Corrected Flux
2318.399868361, 0.998629979,
2318.420300244, 0.998590669,
2318.440732027, 0.998635304,
2318.461164008, 0.998597869,
2318.481595790, 0.998588727,
2318.502027672, 0.998596532,
2318.522459653, 0.998611004,
2318.583755294, 0.998648827,
2318.604187074, 0.998666832,
2318.624619054, 0.998616093,
2318.645050933, 0.998621266,
2318.665482712, 0.998573303,
2318.685914690, 0.998633685,
2318.706346568, 0.998632543,
2318.726778346, 0.998543059,
2318.747210324, 0.998611963,
2318.767642201, 0.998639680,
2318.788074078, 0.998625865,
2318.828937831, 0.998610401,
2318.849369707, 0.998640421,
2318.869801683, 0.998635207,
2318.890233458, 0.998608813,
2318.910665333, 0.998593463,
2318.931097308, 0.998642633,
2318.951529083, 0.998598345,
2318.971960957, 0.998651608,
2318.992392931, 0.998618718,
2319.012824704, 0.998642993,
2319.033256678, 0.998626449,
2319.074120323, 0.998658573,
2319.094552295, 0.998638245,
2319.114984167, 0.998610793,
2319.135415939, 0.998659706,
2319.155847910, 0.998708660,
2319.176279681, 0.998545919,
2319.196711552, 0.998331279,
2319.217143522, 0.998318734,
2319.237575292, 0.998239891,
2319.258007162, 0.998261076,
2319.278439132, 0.998308869,
2319.298871001, 0.998298002,
2319.319302770, 0.998240911,
2319.339734738, 0.998289278,
2319.360166607, 0.998326077,
2319.380598375, 0.998403716,
2319.401030342, 0.998728002,
2319.421462210, 0.998670771,
2319.441894177, 0.998689225,
2319.462325943, 0.998768401,
2319.482757810, 0.998752223,
2319.503189776, 0.998619097,
2319.523621542, 0.998420923,
2319.564485372, 0.998674395,
2319.584917137, 0.998664585,
2319.605349002, 0.998683818,
2319.625780966, 0.998691921,
2319.646212730, 0.998676241,
2319.666644593, 0.998679128,
2319.687076557, 0.998681323,
2319.707508420, 0.998667731,
2319.727940183, 0.998637257,
2319.748372145, 0.998738453,
2319.768804007, 0.998715986,
2319.809667730, 0.998700209,
2319.830099592, 0.998642753,
2319.850531453, 0.998657844,
2319.870963313, 0.998739720,
2319.891395073, 0.998688526,
2319.911827033, 0.998703024,
2319.932258893, 0.998690661,
2319.952690752, 0.998731671,
2319.973122611, 0.998707646,
2319.993554470, 0.998716824,
2320.013986229, 0.998738149,
2320.034418187, 0.998764547,
2320.054850045, 0.998731239,
2320.075281802, 0.998751402,
2320.095713759, 0.998792637,
2320.116145616, 0.998792487,
2320.136577473, 0.998850855,
2320.157009330, 0.998856975,
2320.177441185, 0.998811810,
2320.197873041, 0.998830497,
2320.218304897, 0.998896379,
2320.238736752, 0.998982177,
2320.259168707, 0.998922629,
2320.300032316, 0.998758610,
2320.320464270, 0.998752310,
2320.340896123, 0.998779686,
2320.361327877, 0.998759619,
2320.381759830, 0.998812650,
2320.402191682, 0.998887359,
2320.422623435, 0.998776908,
2320.443055387, 0.998781838,
2320.463487239, 0.998830105,
2320.483918990, 0.998838392,
2320.504350942, 0.998837297,
2320.524782793, 0.998775028,
2320.545214643, 0.998845141,
2320.565646494, 0.998768290,
2320.586078344, 0.998797436,
2320.606510194, 0.998768044,
2320.626942043, 0.998742448,
2320.647373892, 0.998767294,
2320.667805741, 0.998795701,
2320.688237590, 0.998871207,
2320.708669438, 0.998860532,
2320.729101286, 0.998866263,
2320.749533134, 0.998891031,
2320.790396929, 0.998803527,
2320.810828675, 0.998794111,
2320.831260522, 0.998833792,
2320.851692468, 0.998863033,
2320.872124214, 0.998846484,
2320.892556060, 0.998820537,
2320.912988005, 0.998866925,
2320.933419750, 0.998762670,
2320.953851595, 0.998813940,
2320.974283540, 0.998803571,
2320.994715284, 0.998807364,
2321.015147128, 0.998853679,
2321.035579071, 0.998834397,
2321.056010815, 0.998846023,
2321.076442758, 0.998836802,
2321.096874600, 0.998830021,
2321.117306443, 0.998921334,
2321.137738285, 0.998920806,
2321.158170127, 0.998771218,
2321.178601969, 0.998886894,
2321.199033810, 0.998869555,
2321.219465651, 0.998823659,
2321.239897491, 0.998857540,
2321.280761172, 0.998943570,
2321.301193012, 0.998955155,
2321.321624952, 0.998937010,
2321.342056691, 0.998890638,
2321.362488530, 0.998850291,
2321.382920368, 0.998836630,
2321.403352207, 0.998881961,
2321.423783945, 0.998912922,
2321.444215883, 0.998909182,
2321.464647720, 0.998890235,
2321.485079658, 0.998905162,
2321.505511395, 0.998894635,
2321.525943231, 0.998891954,
2321.546375168, 0.998846886,
2321.566806904, 0.998864196,
2321.587238740, 0.998909114,
2321.607670675, 0.998897926,
2321.628102511, 0.998903501,
2321.648534246, 0.998844061,
2321.668966180, 0.998849202,
2321.689398015, 0.998881649,
2321.709829749, 0.998895865,
2321.730261683, 0.998834291,
2321.771125249, 0.998844358,
2321.791557182, 0.998901748,
2321.811989015, 0.998863004,
2321.832420747, 0.998844896,
2321.852852679, 0.998854863,
2321.873284511, 0.998833995,
2321.893716443, 0.998865325,
2321.914148174, 0.998874287,
2321.934580005, 0.998853139,
2321.955011936, 0.998867869,
2321.975443666, 0.998853275,
2321.995875497, 0.998876365,
2322.016307426, 0.998896205,
2322.036739156, 0.998898194,
2322.057170985, 0.998921376,
2322.077602814, 0.998898969,
2322.098034643, 0.998908323,
2322.118466472, 0.998916549,
2322.138898400, 0.998836383,
2322.159330128, 0.998914978,
2322.179761955, 0.998904750,
2322.200193883, 0.998880032,
2322.220625610, 0.998947510,
2322.261489363, 0.998882062,
2322.281921089, 0.998941657,
2322.302353015, 0.998871769,
2322.322784841, 0.998865896,
2322.343216566, 0.998897192,
2322.363648492, 0.998866253,
2322.384080317, 0.998915477,
2322.404512041, 0.998936120,
2322.424943965, 0.998901855,
2322.445375789, 0.998944126,
2322.465807613, 0.998917963,
2322.486239437, 0.998843884,
2322.506671260, 0.998909669,
2322.527103083, 0.998890805,
2322.547534905, 0.998871902,
2322.567966728, 0.998942339,
2322.588398550, 0.998895717,
2322.608830472, 0.998866105,
2322.629262193, 0.998909045,
2322.649694114, 0.998964367,
2322.670125935, 0.998944643,
2322.690557656, 0.998946613,
2322.710989576, 0.998976977,
2322.751853117, 0.998944434,
2322.772285036, 0.998903002,
2322.792716756, 0.998869326,
2322.813148575, 0.998911834,
2322.833580493, 0.998930369,
2322.854012212, 0.998964890,
2322.874444030, 0.998939847,
2322.894875948, 0.998983963,
2322.915307666, 0.998949437,
2322.935739483, 0.998981881,
2322.956171401, 0.998941126,
2322.976603218, 0.998938138,
2322.997034934, 0.998941943,
2323.017466850, 0.998996228,
2323.037898666, 0.998967275,
2323.058330482, 0.998998057,
2323.078762298, 0.999023281,
2323.099194113, 0.998994029,
2323.119625928, 0.998999013,
2323.140057743, 0.999056165,
2323.160489557, 0.999036820,
2323.180921472, 0.999050628,
2323.201353185, 0.999029792,
2323.242216912, 0.998943155,
2323.262648626, 0.998935292,
2323.283080439, 0.999031487,
2323.303512351, 0.998927018,
2323.323944063, 0.998959976,
2323.344375875, 0.999022830,
2323.364807787, 0.999002350,
2323.385239499, 0.998992953,
2323.405671310, 0.999024512,
2323.426103221, 0.998991040,
2323.446535032, 0.999016042,
2323.466966842, 0.998964466,
2323.487398652, 0.998997327,
2323.507830362, 0.999072656,
2323.528262272, 0.999025514,
2323.548694082, 0.999035346,
2323.569125791, 0.999029102,
2323.589557699, 0.999033022,
2323.609989508, 0.998984637,
2323.630421216, 0.999068944,
2323.650853125, 0.999029955,
2323.671284932, 0.998993823,
2323.691716640, 0.999032020,
2323.732580354, 0.999019302,
2323.753012061, 0.999007548,
2323.773443967, 0.999042455,
2323.814307680, 0.999020947,
2323.834739385, 0.999005306,
2323.855171191, 0.999007445,
2323.875603096, 0.999012753,
2323.896034801, 0.999000202,
2323.916466606, 0.999093648,
2323.936898510, 0.999071654,
2323.957330214, 0.999023104,
2323.977762018, 0.999079390,
2323.998193922, 0.998974496,
2324.018625725, 0.998943813,
2324.039057428, 0.998942521,
2324.059489331, 0.998977001,
2324.079921133, 0.998988237,
2324.100352836, 0.998999779,
2324.120784738, 0.998973096,
2324.141216540, 0.998980292,
2324.161648241, 0.999009439,
2324.182080142, 0.999058561,
2324.243375545, 0.999000875,
2324.263807345, 0.998992612,
2324.284239145, 0.998997708,
2324.304670945, 0.999010470,
2324.325102644, 0.999040887,
2324.345534543, 0.999000030,
2324.365966343, 0.999000382,
2324.386398141, 0.999051438,
2324.406829940, 0.998983567,
2324.427261738, 0.999114961,
2324.447693536, 0.999025589,
2324.468125433, 0.999055108,
2324.488557131, 0.999080813,
2324.508988928, 0.999103362,
2324.529420825, 0.999077718,
2324.549852522, 0.999123896,
2324.570284418, 0.999110811,
2324.590716214, 0.999073260,
2324.611147910, 0.998995315,
2324.631579806, 0.999030370,
2324.652011601, 0.999079244,
2324.672443296, 0.999186332,
2324.713306986, 0.999072089,
2324.733738680, 0.999051182,
2324.754170575, 0.999125702,
2324.774602368, 0.999160721,
2324.795034062, 0.999125106,
2324.815465955, 0.999116842,
2324.835897749, 0.999069890,
2324.856329541, 0.999126839,
2324.876761334, 0.999067546,
2324.897193126, 0.999083199,
2324.917624919, 0.999089604,
2324.938056810, 0.999119354,
2324.958488502, 0.999114677,
2324.978920294, 0.999076115,
2324.999352085, 0.999101375,
2325.019783876, 0.999032907,
2325.040215766, 0.999040639,
2325.060647457, 0.999018680,
2325.081079247, 0.999127015,
2325.101511136, 0.999056154,
2325.121942826, 0.999004394,
2325.142374616, 0.999035893,
2325.162806505, 0.999010660,
2325.203669982, 0.999061782,
2325.224101871, 0.999044353,
2325.244533559, 0.998989439,
2325.264965347, 0.999078047,
